row ID;row m/z;row retention time;20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area
313;531.0639217;0.48355862;0;129309.22;0
314;215.1391519;0.4867945;134871.7;0;0
315;229.1549574;0.48805547;0;241982;441366.34
316;126.1280093;0.49147314;0;159834.53;0
317;160.0604676;0.49147314;0;60344.83;0
318;203.0534772;0.49261898;0;0;67205.77
319;293.0544815;0.49261898;0;0;63188.547
320;321.9617502;0.49309212;90684.22;1151499.2;0
321;182.0293069;0.49828506;539885.5;414413.94;515618.8
322;172.9772684;0.4982871;335494.1;347546.38;317379.03
323;154.9903885;0.49938974;0;555559.2;0
324;184.9771917;0.49938974;0;299002.94;0
325;194.9666054;0.49938974;0;86326.48;0
326;229.9747195;0.49938974;0;764964.6;0
327;277.9718685;0.49938974;0;458776.72;0
328;227.0164847;0.5006272;0;0;104363.56
329;222.0610655;0.5017941;267996.5;0;418471.2
330;124.039644;0.5061836;380973.5;107122.06;494802.22
331;178.0863075;0.50731885;0;127359.734;0
332;168.0137116;0.50912803;1222248.6;1006952.44;1069377.2
333;247.0426696;0.50925165;291331.44;262697.78;254945.03
334;146.0926681;0.513199;0;565404.9;374252.1
335;226.003752;0.5152605;0;97291.86;0
336;500.9078697;0.5152605;0;72914.35;0
337;214.0033208;0.51992375;131782.36;170060.31;128899.32
338;178.9929649;0.52125967;73647.11;186234.95;0
339;166.018513;0.5222554;107570.16;0;96848.32
340;188.128338;0.52320206;0;125378.97;0
341;335.9773491;0.52320206;0;163617.02;0
342;130.0865761;0.52348906;3252986.5;494657.38;147071.84
343;254.1600113;0.52487916;0;0;585175.8
344;256.081687;0.5264783;283557.9;0;268036.94
345;321.1158755;0.5289187;0;59827.21;316419.28
346;379.9670017;0.5311437;0;500994.4;0
347;284.1341186;0.53853035;217870.56;0;102235.44
348;268.9770652;0.5390957;0;256668.78;0
349;293.0079134;0.5390957;0;114582.82;0
350;306.9972072;0.5390957;0;585014.56;0
351;322.9696638;0.5390957;0;607692.7;0
352;334.9487688;0.5390957;0;177835.23;0
353;344.9517943;0.5390957;0;139919.45;0
354;370.9722424;0.5390957;0;231284.55;0
355;446.9886567;0.5390957;0;224940.69;0
356;196.0086673;0.5411994;379604.94;275319.03;316257.75
357;189.0396524;0.54247296;111637.29;0;69553.23
358;311.9703872;0.5470415;0;104439.24;0
359;312.9667875;0.5470415;0;1142252.1;0
360;200.1393773;0.55498725;0;152787.6;0
361;261.0582707;0.55722696;93698.4;56388.805;135337.56
362;192.0868864;0.5608482;308846.62;0;0
363;225.1961563;0.56296223;0;723153.6;0
364;256.9769661;0.56296223;0;198224.28;0
365;300.1290462;0.56296223;0;47678.465;0
366;141.9588507;0.56438094;0;455099;238126.27
367;144.0658193;0.5709497;0;142562.73;0
368;152.0568547;0.5709497;0;104423.07;0
369;153.9980475;0.57139635;1302510.9;1199564.4;699937.44
370;136.0619866;0.5724455;0;2119525.5;2810961.5
371;137.0653666;0.5739413;0;0;143177.89
372;181.99306;0.57827485;181874.92;121729.75;0
373;174.1126674;0.5789538;0;179838.86;0
374;308.269628;0.5789538;0;246131.17;0
375;160.1333972;0.5869871;0;387010.7;0
376;162.0762647;0.5869871;0;552691;0
377;184.097064;0.5869871;0;177123.39;0
378;231.0841608;0.59006613;0;0;7454175.5
379;308.0191707;0.59006613;0;0;164989.52
380;309.0271133;0.59006613;0;0;108396.445
381;344.1554978;0.59006613;0;0;154568.86
382;439.1790466;0.59006613;0;0;2273116.5
383;142.0865063;0.59386665;1967234.6;0;0
384;130.0976807;0.595012;0;294079.72;0
385;204.1231817;0.595012;0;427531.25;0
386;127.0393389;0.5980098;0;0;127190.195
387;141.0548439;0.5980098;0;0;2154267.8
388;155.070519;0.5980098;0;0;297126.5
389;209.1022419;0.5980098;0;0;3229571
390;222.097486;0.5980098;0;0;51464.047
391;226.1287515;0.5980098;0;0;4623517
392;445.0461979;0.5980098;0;0;130578.98
393;144.1021393;0.60244966;2437365.8;1924495.1;0
394;130.1228628;0.60299945;0;586475.94;0
395;140.107184;0.60299945;0;94595.805;0
396;272.1128319;0.60299945;0;246556.28;0
397;290.1597369;0.60299945;0;54567.867;0
398;222.0610878;0.6080319;613151.6;0;937094.6
399;178.0863397;0.6109681;0;101362.44;0
400;227.0164354;0.61207354;166133.98;0;227099.98
401;261.058502;0.61207354;368888.53;0;197707.75
402;254.1600921;0.61411387;0;0;330321.56
403;256.1030306;0.61411387;0;0;182033.67
404;305.1345781;0.61411387;0;0;114347.51
405;203.055268;0.6161964;63839.76;0;67062.84
406;126.0916838;0.6189243;0;103675.13;0
407;284.1342225;0.6202297;415287.2;0;200310.3
408;208.0642835;0.6221805;0;0;60856.098
409;247.1291325;0.6221805;0;0;40152.656
410;215.1391974;0.6264914;202566;0;0
411;142.122724;0.62687427;0;1.94E+07;0
