row ID,row m/z,row retention time,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,
162,328.8845152713525,0.37338543,0,0,0,0,0,0,0,0,142234.5,
163,362.8016600881117,0.37338543,0,0,0,0,0,0,0,0,54554.465,
164,451.7351520745931,0.37338543,0,0,0,0,0,0,0,0,55957.418,
165,571.6650739560205,0.37338543,0,0,0,0,0,0,0,0,51959.855,
166,594.680665887043,0.37338543,0,0,0,0,0,0,0,0,50576.69,
167,620.6810591953057,0.37338543,0,0,0,0,0,0,0,0,69992.62,
168,917.4481076792918,0.37338543,0,0,0,0,0,0,0,0,91146.61,
169,137.98754468064044,0.37351072,0,0,0,0,0,0,0,2511726.5,2678775.0,
170,138.9954216961415,0.37351072,0,0,0,0,0,0,0,1196662.0,1150881.0,
171,140.9617652861359,0.37351072,0,0,0,0,0,0,0,198985.33,197459.47,
172,141.94998923306892,0.37351072,0,0,0,0,0,0,0,217536.25,202764.3,
173,142.95898373159451,0.37351072,0,0,0,0,0,0,0,510680.84,447614.72,
174,169.977459359646,0.37351072,0,0,0,0,0,0,0,3317075.0,3154094.5,
175,172.86250412450454,0.37351072,0,0,0,0,0,0,0,71673.805,62417.89,
176,181.9883568267779,0.37351072,0,0,0,0,0,0,0,408417.3,394821.7,
177,182.97233107667157,0.37351072,0,0,0,0,0,0,0,526054.4,512604.16,
178,183.00164684629885,0.37351072,0,0,0,0,0,0,0,193349.8,182033.23,
179,187.9641202814945,0.37351072,0,0,0,0,0,0,0,251113.62,250515.34,
180,196.01678393189638,0.37351072,0,0,0,0,0,0,0,390575.7,386641.06,
181,200.00003162412747,0.37351072,0,0,0,0,0,0,0,118096.13,104924.805,
182,200.99615794563812,0.37351072,0,0,0,0,0,0,0,158278.17,161674.83,
183,231.89892417076953,0.37351072,0,0,0,0,0,0,0,221241.95,219561.64,
184,236.87799579182507,0.37351072,0,0,0,0,0,0,0,219253.95,217215.75,
185,246.8620159014258,0.37351072,0,0,0,0,0,0,0,1981321.0,1903122.2,
186,259.89399046539995,0.37351072,0,0,0,0,0,0,0,1432148.1,1393442.9,
187,262.8776727048281,0.37351072,0,0,0,0,0,0,0,314197.22,315946.22,
188,264.87286986933714,0.37351072,0,0,0,0,0,0,0,2667104.0,2592414.8,
189,265.8745621006981,0.37351072,0,0,0,0,0,0,0,165007.19,141145.58,
190,272.9255484443345,0.37351072,0,0,0,0,0,0,0,453262.5,449461.78,
191,282.8834701204672,0.37351072,0,0,0,0,0,0,0,509381.44,542907.06,
192,283.89827836586255,0.37351072,0,0,0,0,0,0,0,86459.66,76756.54,
193,494.7566762206271,0.37351072,0,0,0,0,0,0,0,97463.805,85186.37,
194,147.11314239360107,0.37355518,0,0,321758.12,0,0,0,0,0,0,
195,668.6818652163743,0.37351072,0,0,0,0,0,0,0,61009.203,64282.117,
196,671.5908403859432,0.37351072,0,0,0,0,0,0,0,96522.82,81864.34,
197,697.5896313321148,0.37351072,0,0,0,0,0,0,0,111825.19,96124.03,
198,699.5849089482567,0.37351072,0,0,0,0,0,0,0,265840.0,245286.03,
199,725.5851141814225,0.37351072,0,0,0,0,0,0,0,178803.66,170937.34,
200,727.5808232481322,0.37351072,0,0,0,0,0,0,0,464426.4,431259.88,
201,871.514955402585,0.37351072,0,0,0,0,0,0,0,184399.19,155423.16,
202,873.5104379617434,0.37351072,0,0,0,0,0,0,0,434936.22,398607.25,
203,1063.37656683951,0.37351072,0,0,0,0,0,0,0,77208.8,59818.258,
204,126.95568798441742,0.373636,0,0,0,0,0,0,0,69713.06,0,
205,154.98017556824865,0.373636,0,0,0,0,0,0,0,100707.69,0,
206,155.00021256478,0.373636,0,0,0,0,0,0,0,129188.836,0,
207,157.0060929528591,0.373636,0,0,0,0,0,0,0,55759.297,0,
208,201.99126047192183,0.373636,0,0,0,0,0,0,0,55766.684,0,
209,244.93050022146284,0.373636,0,0,0,0,0,0,0,78621.94,0,
210,249.90947182613024,0.373636,0,0,0,0,0,0,0,73117.914,0,
211,254.9148427249929,0.373636,0,0,0,0,0,0,0,74856.27,0,
212,260.89588588044353,0.373636,0,0,0,0,0,0,0,89703.03,0,
213,324.92476913819587,0.373636,0,0,0,0,0,0,0,103592.336,0,
214,358.82395274412795,0.373636,0,0,0,0,0,0,0,57055.312,0,
215,271.91658340265934,0.3759165,0,472455.0,0,0,0,0,0,170503.92,159641.36,
216,206.93804351747764,0.3774503,0,0,0,0,0,0,0,100124.11,122833.445,
217,248.90129875193037,0.3774503,0,0,0,0,0,0,0,102368.11,88437.16,
218,332.88633349438305,0.3774503,0,0,0,0,0,0,0,68058.25,78653.016,
219,361.7941576961181,0.3774503,0,0,0,0,0,0,0,127246.99,116273.47,
220,363.7893596170244,0.3774503,0,0,0,0,0,0,0,783874.06,724099.2,
221,381.80020547237837,0.3774503,0,0,0,0,0,0,0,221889.55,213937.89,
222,453.7303084187863,0.3774503,0,0,0,0,0,0,0,286942.6,256630.61,
223,479.73000666865164,0.3774503,0,0,0,0,0,0,0,356682.6,352270.66,
224,481.7252829567312,0.3774503,0,0,0,0,0,0,0,1494479.1,1431947.4,
225,483.7275074787439,0.3774503,0,0,0,0,0,0,0,70068.875,53932.79,
226,509.7199545386337,0.3774503,0,0,0,0,0,0,0,353452.7,320578.94,
227,553.6552970093622,0.3774503,0,0,0,0,0,0,0,78162.99,76554.12,
228,579.6546500669142,0.3774503,0,0,0,0,0,0,0,85730.13,71153.01,
229,581.6489029483498,0.3774503,0,0,0,0,0,0,0,289736.25,275255.97,
230,627.6553656981221,0.3774503,0,0,0,0,0,0,0,151198.08,140295.48,
231,844.5077035079196,0.3774503,0,0,0,0,0,0,0,165935.77,147439.89,
