formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C3H3FeNO2	[M + H]+	C3H4FeNO2+	0.814	0.333	49.093	42.104	6.989	5	0.514	5.913	5.913	0.534		139.963	22	0.370	707548058745779529	707547790012510780	68	
1	C3H6BrClFNO4S	[M + H]+	C3H7BrClFNO4S+	0.571	0.500	74.466	74.127	0.339	23	0.649	-0.841	1.032	-4.103		285.893	22	0.370	707548059844687313	707547790163505744	73	
1	C7H7AsN2O6	[M + K]+	C7H7AsKN2O6+	0.714	0.175	41.451	41.451	0.000	12	0.527	0.102	0.422	-0.017		328.915	22	0.370	707548061958616614	707547790259974748	76	
1	C4H11N2O6PSe	[M + K]+	C4H11KN2O6PSe+	0.541	0.852	25.108	25.108	0.000	15	0.826	1.261	2.160	-3.295		326.920	22	0.370	707548070871513341	707547790226420312	75	
1	C2H4Cl2O3	[M - H2O + H]+	C2H3Cl2O2+	1.000	0.236	0.179	0.179	0.000	0	0.000	3.737	3.737	-139665.920		128.951	22	0.370	707548071110588684	707547789978956344	67	
1	C5H4AsNO6	[M + K]+	C5H4AsKNO6+	1.000	1.000	49.611	48.287	1.324	11	0.512	-0.068	0.242	0.047		287.889	22	0.370	707548073509730715	707547790197060180	74	
1	C5H6FeN2O2	[M + H]+	C5H7FeN2O2+	0.834	0.333	55.400	47.661	7.738	16	0.787	3.511	3.511	1.081		180.990	22	0.370	707548075715934835	707547790071231044	70	
1	C3H3AsO7	[M + K]+	C3H3AsKO7+	1.000	1.000	59.900	58.983	0.917	15	0.772	0.185	0.437	0.898		264.873	22	0.370	707548083345374468	707547790134145612	72	
1	AsClH4NO5	[M + K]+	AsClH4KNO5+	1.000	0.999	12.612	12.612	0.000	6	0.273	0.759	1.329	-2.165		246.862	22	0.370	707548084767243616	707547790100591176	71	
1	C3H5Cl2O3	[M - H2O + H]+	C3H4Cl2O2+	0.661	0.496	24.943	23.058	1.885	3	0.385	4.137	4.137	-126868.709		141.959	22	0.371	707548053905552512	707547790293529184	77	
1	C5H8Cl2NO3	[M - H2O + H]+	C5H7Cl2NO2+	0.559	0.333	57.387	54.681	2.706	9	0.782	3.747	3.747	-98423.813		182.985	22	0.371	707548062273189461	707547790398386796	80	
1	C2H4BNO4	[M + K]+	C2H4BKNO4+	0.410	0.616	13.841	13.841	0.000	2	0.610	1.986	1.986	1.628		154.990	22	0.371	707548073576839595	707547790364832360	79	
1	C6H4ClFNO2PS2	[M + H]+	C6H5ClFNO2PS2+	0.375	0.278	57.668	57.668	0.000	17	0.610	1.841	2.704	-0.181		271.917	22	0.371	707548078459009963	707547790327083620	78	
1	C4H7Cl2NO3	[M - H2O + H]+	C4H6Cl2NO2+	0.998	0.298	50.954	48.572	2.382	9	0.767	4.519	4.519	-105955.380		169.978	22	0.373	707548047068836768	707547790431941232	81	
1	C6H11NO2	[M + H3N + H]+	C6H15N2O2+	0.998	0.333	30.847	28.211	2.636	1	0.288	6.770	6.770	2.351		147.113	22	0.374	707548067386046431	707547790469689972	82	
1	C9H4Br3NO5	[M + K]+	C9H4Br3KNO5+	1.000	1.000	101.082	101.082	0.000	27	0.640	-3.689	3.689	-3.813		481.725	23	0.378	707548066006120326	707547790503244408	83	
1	C4H9Cl2NO3	[M - H2O + H]+	C4H8Cl2NO2+	0.997	0.285	46.736	44.552	2.185	7	0.521	3.840	3.840	-104714.165		171.993	23	0.379	707548052819227742	707547790536798844	84	
1	C2H4Cl2O2	[M + H]+	C2H5Cl2O2+	0.999	0.308	12.017	12.017	0.000	2	0.107	3.374	3.374	3.732		130.967	23	0.381	707548056275334359	707547790574547584	85	
1	C3H6Cl2O4	[M - H2O + H]+	C3H5Cl2O3+	1.000	0.482	69.808	69.808	0.000	10	0.670	3.795	3.795	-113298.233		158.962	23	0.381	707548060528358894	707547790612296324	86	
1	C3H5Br2NO5S	[M + K]+	C3H5Br2KNO5S+	0.807	0.836	71.660	71.660	0.000	22	0.625	4.197	4.197	1.881		363.789	23	0.381	707548063036552909	707547790750708372	90	
1	C4H6N2O3Se	[M - H2O + H]+	C4H5N2O2Se+	0.577	0.333	95.410	95.410	0.000	20	0.412	-4.876	4.876	-96338.778		186.956	23	0.381	707548080287726660	707547790645850760	87	
1	C6H9Br2Cl3N2O2	[M + H]+	C6H10Br2Cl3N2O2+	0.319	0.059	43.205	43.205	0.000	22	0.683	-1.851	1.851	-1.880		404.816	23	0.381	707548085606104482	707547790784262808	91	
1	CH6AsFNO7	[M + K]+	CH6AsFKNO7+	1.000	1.000	87.203	87.203	0.000	20	0.419	0.099	0.352	-3.049		276.897	23	0.381	707548087636147815	707547790687793804	88	
1	C5H9BrClN2O3PS	[M - H2O + H]+	C5H8BrClN2O2PS+	0.342	0.329	83.744	83.744	0.000	27	0.711	1.318	1.989	-59070.053		304.892	23	0.381	707548090777681807	707547790717153936	89	
1	C3H6Cl2O4	[M + H]+	C3H7Cl2O4+	1.000	0.809	51.575	51.575	0.000	14	0.543	2.583	2.583	3.218		176.972	23	0.385	707548056447300850	707547790855565984	93	
1	C6H7N3O2Se	[M + H]+	C6H8N3O2Se+	0.536	0.333	88.013	88.013	0.000	22	0.394	-5.014	5.014	-3.111		227.983	23	0.385	707548066178086813	707547790964617900	96	
1	C6H3ClO	[M + Na]+	C6H3ClNaO+	0.419	0.434	10.413	10.413	0.000	1	0.121	4.139	4.139	5.483		148.977	23	0.385	707548067709007869	707547790813622940	92	
1	C4H3ClO3	[M + Na]+	C4H3ClNaO3+	0.998	0.999	51.430	51.430	0.000	7	0.237	-0.381	1.586	0.113		156.966	23	0.385	707548076840008435	707547790889120420	94	
1	C5H9Cl2NO4	[M - H2O + H]+	C5H8Cl2NO3+	0.986	0.322	100.387	98.763	1.624	15	0.657	3.946	3.946	-90056.047		199.988	23	0.385	707548078022802251	707547790931063464	95	
1	C4H4Cl6N2O5	[M + K]+	C4H4Cl6KN2O5+	0.938	0.965	56.449	56.449	0.000	24	0.726	-2.316	2.316	-2.068		408.787	23	0.385	707548080245783602	707547790993978032	97	
1	C8H9Br2Cl2F2NO2S	[M + H]+	C8H10Br2Cl2F2NO2S+	0.208	0.027	74.711	74.711	0.000	27	0.711	-1.143	1.234	0.818		449.814	23	0.385	707548095974424793	707547791027532468	98	
1	C9H17NO2	[M + H3N + H]+	C9H21N2O2+	0.989	0.333	89.537	86.422	3.115	10	0.954	3.150	3.150	1.775		189.160	23	0.387	707548042853560948	707547791056892600	99	
1	C3H5Cl3O3	[M + Na]+	C3H5Cl3NaO3+	0.972	0.870	11.248	11.248	0.000	3	0.054	4.988	4.988	3.560		216.920	23	0.391	707548065423112034	707547791086252732	100	
1	C2H4Cl2N2O4S	[M + Na]+	C2H4Cl2N2NaO4S+	0.853	0.680	29.264	29.264	0.000	7	0.291	-4.418	4.418	-3.853		244.915	23	0.391	707548070762461425	707547791119807168	101	
